model_number,vehicle_id,source_path,source_sha256,total_faces,geometry_node_count,body_node,body_faces,rear_axle_node,rear_left_faces,rear_right_faces,front_axle_node,front_left_faces,front_right_faces,measured_source_wheelbase,rear_wheel_topology,split_crossing_faces,inspection_status
1,bmw_4_series_f32,assets/third_party/sketchfab/traffic_rider_npc_vehicles/bmw_4_series_f32/source/01_bmw_4_series_2014.glb,fab5af5379c45f780f2ccc608560b99cb441ebf0f66c06e8eef0cb7fcd28d510,1780,3,AI_Bmw4_High_BMW_4_Series_2014_0,1132,arka_teker_wheel_0,162,162,on_teker_wheel_0,162,162,4.048922538834,single_per_side,0,verified
2,chevrolet_silverado_2014,02_chevrolet_silverado_2014.glb,bce261f8703d7e03737cfd40ffa25a1546b76de84772f5b790ed7cc3b40ee465,2232,3,AI_Chevy_High_Chevrolet_Silverado_2014_0,1512,arka_teker.001_wheel_0,180,180,on_teker.001_wheel_0,180,180,5.377248763991,single_per_side,0,verified
3,renault_clio_2013,03_renault_clio_2013.glb,48081738ea28f0ef1360461c7790dadc4c4acc8547b5ac872dcd3a12606438b4,2118,3,AI_Clio_High_Renault_Clio_2013_0,1398,arka_teker.002_wheel_0,180,180,on_teker.002_wheel_0,180,180,3.784996986487,single_per_side,0,verified
4,chevrolet_cruze_2011,04_chevrolet_cruze_2011.glb,ac6af7b6894a8bbe327f4250b16ab5176ad16743f7141afbe6c0efc9cd61f251,2444,3,AI_Cruze_High_Chevrolet_Cruze_2011_0,1724,arka_teker.003_wheel_0,180,180,on_teker.003_wheel_0,180,180,3.973513603096,single_per_side,0,verified
5,ford_e150_2012,05_ford_e150_2012.glb,b8fb9a407b091108ea4c36f12f609e65ae587108085ec4ac6e019842a9396c6e,1844,3,AI_Ford_E150_High_Ford_E150_2012_0,1268,arka_teker.004_wheel_0,144,144,on_teker.004_wheel_0,144,144,4.921971321209,single_per_side,0,verified
6,ford_excursion_2000,06_ford_excursion_2000.glb,7e6909692533a21392cb7bdfa03f52db5fe58da59fba6ea5727a76070d91baf7,2180,3,AI_Ford_Excursion_High_Ford_Excursion_2000_Black_0,1460,arka_teker.005_wheel_0,180,180,on_teker.005_wheel_0,180,180,5.098955154449,single_per_side,0,verified
7,ford_f150_limited_2013,07_ford_f150_limited_2013.glb,3be44b7f8f563efc57d259e0a3902dc55b2b347a0b34b2b90f55d75f541f6587,1758,3,AI_Ford_F150_High_Ford_F150_Limited_2013_0,1182,arka_teker.006_wheel_0,144,144,on_teker.006_wheel_0,144,144,5.362778663565,single_per_side,0,verified
8,ford_transit_connect_2011,08_ford_transit_connect_2011.glb,e506579960a582b33c7f91c9b3a6086f99cb9e97158f635c4e614de69d5b862b,1650,3,AI_Ford_Transit_High_Ford_Transit_Connect_2011_0,1074,arka_teker.007_wheel_0,144,144,on_teker.007_wheel_0,144,144,4.155049324047,single_per_side,0,verified
9,land_rover_freelander_2_2012,09_land_rover_freelander_2_2012.glb,ba2cd619b59ff52a0e44ff48e17ea5fc91f89d59cdb4012597dc3b2628a20191,2130,3,AI_Freelander_High_LR_Freelander_LR2_2012_0,1410,arka_teker.009_wheel_0,180,180,on_teker.008_wheel_0,180,180,3.877631187413,single_per_side,0,verified
10,volkswagen_golf_vii_2013,10_volkswagen_golf_vii_2013.glb,d8ff27d0dd2dbfed76723cbe7c04d042af891a127a68fe0dbdbe8946f2220260,1982,3,AI_Golf7_High_VW_Golf_VII_2013_0,1406,arka_teker.010_wheel_0,144,144,on_teker.009_wheel_0,144,144,3.866569042299,single_per_side,0,verified
11,kia_ceed_2012,11_kia_ceed_2012.glb,bc84bc41e7a4ca000826b38153a64b3f66d0d2532c068da30038046d614ac941,2134,3,AI_Kia_Ceed_High_Kia_cee_d_2012_0,1414,arka_teker.011_wheel_0,180,180,on_teker.010_wheel_0,180,180,3.885439872780,single_per_side,0,verified
12,renault_maxity_2008,12_renault_maxity_2008.glb,37dd295636b56ebaecee37c1d461ee64349ee0c0bb697dfb484e94e49b0132f3,2102,3,AI_Maxity_High_Renault_Maxity_2008_0,1022,arka_teker.012_wheel_0,342,342,on_teker.011_wheel_0,198,198,3.912803828716,dual_per_side,0,verified
13,mazda_2_2011,13_mazda_2_2011.glb,39bd570da17e3b84382910f7b9561daa91e23c9cb3ce6b098cb8f4381d7e2a0e,1770,3,AI_Mazda2_High_Mazda_2_2011_0,1194,arka_teker.013_wheel_0,144,144,on_teker.012_wheel_0,144,144,3.581292152478,single_per_side,0,verified
14,mazda_3_2014,14_mazda_3_2014.glb,9b0877f05ffcbb6731b2db8a2d7dbaa07fb867c0bbab1d6596b83e2c87e055ad,1842,3,AI_Mazda3_High_Mazda_3_2014_0,1194,arka_teker.014_wheel_0,162,162,on_teker.013_wheel_0,162,162,3.804384231469,single_per_side,0,verified
15,mercedes_benz_sprinter_2014,15_mercedes_benz_sprinter_2014.glb,e787e83373d2b454d4f47c46f5d5c7c2bffdf862edc9f85f8b16370bd86dbc3f,1536,3,AI_Mb_Sprinter_High_MB_Sprinter_2014_0,960,arka_teker.015_wheel_0,144,144,on_teker.014_wheel_0,144,144,5.539680480957,single_per_side,0,verified
16,mercedes_benz_unimog_u5023_2013,16_mercedes_benz_unimog_u5023_2013.glb,d935aeb5e9aad2e60f0ffcadc28e14edd9902302fc038cd35ef67f01da4f8966,2032,3,AI_Mb_Unimog_High_MB_Unimog_U5023_2013_0,1384,arka_teker.016_wheel_0,162,162,on_teker.015_wheel_0,162,162,5.474724769630,single_per_side,0,verified
