engine_key,curve_status,source_id,retained_curve_points,peak_power_kw,peak_power_ps,peak_power_hp,power_rpm,peak_torque_nm,torque_rpm,transmission_specific,notes,runtime_eligibility,blocking_reason
b38b15_100,peak_only,BMW_F32_RANGE_RESEARCH,,100,136,,,220,,false,Approved output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW full-load torque and power curve required
n20b20_135,peak_only,BMW_F32_RANGE_RESEARCH,,135,184,,,270,,false,Approved output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW full-load torque and power curve required
b48b20_135,official_source_conflict,BMW_F36_201603_AND_F32_LCI_201701,,135,184,,,290,,true,Historical shared 290 Nm value conflicts with official 270 Nm F36 application and later F32 290 Nm manual or 270 Nm automatic split,blocked,pre-LCI F32 transmission-specific calibration and sampled curves required
n20b20_180,peak_plateau_only,BMW_F32_LAUNCH_201306,,180,245,,5000-6500,350,1250-4800,false,Official launch output and torque plateau retained but no sampled full-load curve,blocked,primary sampled N20 180 kW full-load curve required
b48b20_185,peak_only,BMW_F32_RANGE_RESEARCH,,185,252,,,350,,false,Official output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW full-load torque and power curve required
n55b30_225,peak_plateau_only,BMW_F32_LAUNCH_201306,,225,306,,5800-6000,400,1200-5000,false,Official launch output and torque plateau retained but no sampled full-load curve,blocked,primary sampled N55 225 kW full-load curve required
b58b30_240,peak_only,BMW_F32_RANGE_RESEARCH,,240,326,,,450,,false,Official output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW full-load torque and power curve required
n47d20_105,peak_only,BMW_F32_RANGE_RESEARCH,,105,143,,,300,,false,Regional output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary regional BMW full-load torque and power curve required
b47d20_110,peak_only,BMW_F32_RANGE_RESEARCH,,110,150,,,320,,false,Regional output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary regional BMW full-load torque and power curve required
n47d20_135,peak_plateau_only,BMW_F32_LAUNCH_201306,,135,184,,4000,380,1750-2750,false,Official launch output and torque plateau retained but no sampled full-load curve,blocked,primary sampled N47 135 kW full-load curve required
b47d20_140,peak_only,BMW_F32_RANGE_RESEARCH,,140,190,,,400,,false,Official output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW full-load torque and power curve required
n47d20_160,peak_only,BMW_F32_RANGE_RESEARCH,,160,218,,,450,,false,Twin-turbo output retained but no sampled curve or exact RPM anchors were committed,blocked,primary BMW multi-stage turbo full-load curve required
b47d20_165,peak_only,BMW_F32_RANGE_RESEARCH,,165,224,,,450,,false,Multi-stage turbo output retained but no sampled curve or exact RPM anchors were committed,blocked,primary BMW multi-stage turbo full-load curve required
n57d30_190,peak_only,BMW_F32_RANGE_RESEARCH,,190,258,,,560,,false,Official output retained but no sampled full-load curve or exact RPM anchors were committed,blocked,primary BMW N57 full-load torque and power curve required
n57d30_230,peak_only,BMW_F32_RANGE_RESEARCH,,230,313,,,630,,false,Twin-turbo output retained but no sampled curve or exact RPM anchors were committed,blocked,primary BMW N57 multi-stage turbo full-load curve required
n55b30_zhp_6mt,peak_only,BMW_NA_ZHP_RELEASE,,,,335,,430,,true,Factory special output and manual-specific peak torque retained without sampled curve,blocked,primary BMW M Performance Power Kit 6MT full-load curve required
n55b30_zhp_8at,peak_only,BMW_NA_ZHP_RELEASE,,,,335,,450,,true,Factory special output and automatic-specific peak torque retained without sampled curve,blocked,primary BMW M Performance Power Kit 8AT full-load curve required
