engine_key,engine_code,rpm,torque_nm,power_kw,point_class,reconstruction_confidence,note
m43tu_b19_77,M43TU B19 UL,750,82.5,6.5,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,1000,102.3,10.7,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,1500,123.8,19.4,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,2000,145.2,30.4,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,2500,165,43.2,published_anchor,high,maximum torque anchor
m43tu_b19_77,M43TU B19 UL,3000,163.3,51.3,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,3500,160,58.7,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,4000,155.1,65,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,4500,150.2,70.8,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,5300,138.7,77,published_anchor,high,maximum power anchor converted to torque
m43tu_b19_77,M43TU B19 UL,6200,106.7,69.3,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_77,M43TU B19 UL,6400,83.3,55.8,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,750,90,7.1,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,1000,111.6,11.7,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,1500,135,21.2,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,2000,158.4,33.2,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,2500,162,42.4,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
m43tu_b19_87,M43TU B19 OL,3000,171,53.7,reconstructed,medium,shape reconstructed from engine family and adjacent anchors
