engine_key,engine_code,rpm,torque_nm,power_kw,point_class,reconstruction_confidence,note
m54_b25_us_137,M54B25 US,700,123.2,9,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,1000,144.6,15.1,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,1500,173,27.2,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,2000,199.1,41.7,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,2500,218,57.1,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,3000,229.9,72.2,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,3500,237,86.9,published_anchor,low,maximum torque anchor
m54_b25_us_137,M54B25 US,4000,235.8,98.8,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,4500,232.3,109.4,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,5000,225.1,117.9,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,6000,218,137,published_anchor,low,maximum power anchor converted to torque
m54_b25_us_137,M54B25 US,6500,187.2,127.4,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m54_b25_us_137,M54B25 US,6700,146,102.4,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,700,121.7,8.9,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,1000,142.7,14.9,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,1500,170.8,26.8,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,2000,196.6,41.2,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,2500,215.3,56.4,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,3000,227,71.3,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,3500,234,85.8,published_anchor,low,maximum torque anchor
m56_b25_sulev_135,M56B25 SULEV,4000,232.8,97.5,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,4500,229.3,108.1,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,5000,222.3,116.4,reconstructed,low,shape reconstructed from engine family and adjacent anchors
m56_b25_sulev_135,M56B25 SULEV,6000,214.9,135,published_anchor,low,maximum power anchor converted to torque
m56_b25_sulev_135,M56B25 SULEV,6500,184.4,125.5,reconstructed,low,shape reconstructed from engine family and adjacent anchors
